string,1802,1803,1804,1805,1809,1816,1822,1824,1828,1830,1831,1832,1833,1836,1838,1843,1844,1850,1853,1854,1855,1857,1861,1865,1866,1869,1874,1875,1877,1878,1879,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
méga M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,1,1,0,0,2,2,2,1,3,2,1,5,4,3,4,4,3,3
méga M_NOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,1,1,0,0,2,2,2,1,3,2,1,5,4,3,4,4,3,3
méga _ADJ_,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,2,0,3,0,0,5,0,1,3,0,0,0,0,1,2,1,3,0,0,0,1,0,1,0,1,0,0,0,0,2,2,2,21,0,1,2,1,1,0,2,2,1,2,1,0,1,0,1,2,1,0,0,1,2,0,2,0,1,1,4,0,0,1,24,3,5,1,2,3,2,5,1,6,6,1,0,0,0,3,4,2,1,2,7,2,2,3,2,4,6,2,6,7,5,6,2,8,6,3,1,100,6,3,10,16,10,19,30,24,21,27,22,29,30,57,44
méga _ADP_,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,1,1,0,0,1,1,4,0,0,0,0,0,0,5,1,0,0,2,0,0,1,0,2,0,0,0,1,0,3,0,2,3,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,3,0,0,1,0,1,1,3,0,3,3,0,1,1,0,2,3,1,0,1,0,0,0,1,6,3,0,6,3,4,3,5,3,0,0,1,5,1,5,5,4,0
méga _ADV_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,2,0,1,1,0,2,3,3,1,3,2,0,2
méga _CONJ_,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,1,4,4,4,2,2,0,0,0,4,2,2,4,0,1,1,0,0,1,2,4,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,1,3,2,2,8,1,0,9,2,2,9,0,0,0,1,0,0,1,1,0,1,0,0,2,1,0,1,0,3,2,4,0,0,0,2,0,1,0,1,4,1,0,1,3,3,1,2,3,2,0,0,0,0,1,5,1,1,3,2,1,3,2,2,0,2,1,3,5,1,9,4,2,2,3,4,3,7,11,1,5,1
méga _DET_,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,2,0,1,0,3,0,1,1,4,2,1,1,2,0,0,2,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,9,2,2,1,7,1,0,5,2,1,3,1,5,2,3,0
méga _NOUN_,1,0,1,0,1,1,0,2,1,0,0,6,0,1,1,5,0,0,0,0,5,2,0,0,0,0,2,1,3,0,0,1,14,8,0,0,0,1,0,5,8,0,0,4,4,1,5,0,3,0,1,1,0,3,5,2,4,15,4,1,4,0,1,3,15,2,1,1,1,6,18,16,9,18,23,22,56,5,9,32,21,14,54,8,27,18,22,45,67,28,8,22,1,2,4,7,8,13,20,24,31,57,32,32,31,37,140,73,116,27,41,60,108,81,82,67,36,115,66,59,80,82,49,73,151,78,105,78,92,71,81,86,133,131,161,160,202,159,231,193,274,246,260,254,409,222,281,429,344,405,559,609,603,555,531,444,606,622,552,352
méga _PRT_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,2,2,0,1,3,6,5,7,5,0,1,0,0,0,1,1,3,1,10,4,9,12,1,7,5,5,22,2,2,2,5,12,6,4,4,10,4,3,10,9,7,13,8,5,8,2,14,25,5,7,14,14,14,16,12,36,32,35,39,28,34,29,32,51,32,43,60,46,49,64,85,74,47,55,44,72,66,69,47
méga _VERB_,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,12,0,1,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,2,0,1,1,1,0,0,0,0,2,1,0,2,0,1,3,1,0,0,2,0,8,2,3,2,3,3,5,10,3,3,7,11,6,5
méga _X_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,2,2,1,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,3,2,1,2,0,8,4,0,0,0,0,0,2,0,2,0,6,1,3,1,3,0,2,0,0,1,1,5,0,1,7,3,1,10,3,7,5,3,11,5,2,1,8,4,1,9,16,4,15,9,11,22,15,22,13,23,50,17
méga concert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,1,0,3,1,2,5,2,4,4,1,1,5,3,1,2
méga et,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,4,2,2,4,0,1,1,0,0,0,2,4,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,1,1,3,0,0,7,1,0,7,0,0,0,1,0,0,1,1,0,1,0,0,2,0,0,1,0,2,2,3,0,0,0,2,0,1,0,0,4,0,0,0,2,2,0,2,0,0,0,0,0,0,0,3,1,1,3,1,1,3,2,1,0,2,1,2,1,1,2,1,1,0,2,3,3,0,4,1,1,0
méga et_CONJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,4,2,2,4,0,1,1,0,0,0,2,4,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,1,1,3,0,0,7,1,0,7,0,0,0,1,0,0,1,1,0,1,0,0,2,0,0,1,0,2,2,3,0,0,0,2,0,1,0,0,4,0,0,0,2,2,0,2,0,0,0,0,0,0,0,3,1,1,3,1,1,3,2,1,0,2,1,2,1,1,2,1,1,0,2,3,3,0,4,1,1,0
méga octets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,5,0,1,1,0,0,2,3,1,2,2,2,0,4,1,10,3,4,1,1,2,0,1,0,7,2,9,0,0,1,4,2,3
méga octets_NOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,5,0,1,1,0,0,2,3,1,1,2,2,0,4,1,10,3,4,1,0,2,0,1,0,7,2,9,0,0,1,2,2,2
méga ou,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,4,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,5,1,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,1,4,0,4,3,1,2,1,1,0,6,6,0,4,1
méga ou_CONJ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,4,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,5,1,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,1,4,0,4,3,1,2,1,1,0,6,6,0,4,1
méga projet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,1,1,0,1,2,2,2,5,3,2,7,7,14,10,7
méga projet_NOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,1,1,0,1,2,2,2,5,3,2,7,7,14,10,7
méga projets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,11,1,1,10,1,8,6,6,13,6
méga projets_NOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,11,1,1,10,1,8,6,6,13,6
méga_DET _NOUN_,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,5,3,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,2,3,0,4,1,1,3,0,0,3,2,0,1,0,1,1,2,2,1,1,0,0,0,0,0,0,1,2,5,1,4,1,0,8,3,0,2,10,1,1,2,0,3,0,1,3,2,4,3,3,4,0,5,6,2,0,3,5,2,3,3,0,7,6,12,23,9,7,8,4,8,3,12,7,173,6,4,22,12,14,19,36,30,44,21,29,49,43,36,35
méga_DET octets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,5,0,1,1,0,0,2,3,1,1,2,2,0,4,1,10,3,3,1,0,2,0,1,0,7,2,9,0,0,1,2,2,1
méga_DET octets_NOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,5,0,1,1,0,0,2,3,1,1,2,2,0,4,1,10,3,3,1,0,2,0,1,0,7,2,9,0,0,1,2,2,1
méga_NOUN _ADJ_,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,2,0,3,0,0,5,0,1,3,0,0,0,0,1,2,1,3,0,0,0,1,0,1,0,1,0,0,0,0,2,2,2,21,0,1,2,1,1,0,2,2,1,2,1,0,1,0,1,2,1,0,0,1,2,0,2,0,1,1,4,0,0,1,24,3,5,1,2,3,2,5,1,4,6,1,0,0,0,3,4,2,1,2,5,2,2,3,2,4,6,1,6,7,5,6,2,8,6,3,1,99,6,2,10,16,10,19,24,24,21,21,20,28,26,57,41
méga_NOUN _ADP_,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,1,1,0,0,1,1,4,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,1,0,1,1,1,0,3,2,0,1,1,0,2,3,1,0,1,0,0,0,1,6,3,0,6,3,4,3,4,2,0,0,1,5,1,5,4,4,0
méga_NOUN _CONJ_,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,3,4,0,0,0,0,0,3,2,2,1,0,0,0,0,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,1,3,2,1,8,1,0,6,2,2,9,0,0,0,1,0,0,1,1,0,1,0,0,2,1,0,1,0,2,2,4,0,0,0,1,0,1,0,1,1,1,0,1,3,3,1,1,3,2,0,0,0,0,0,3,1,1,1,2,1,3,2,1,0,1,1,3,3,1,3,4,2,2,3,3,3,3,9,1,5,1
méga_NOUN _NOUN_,1,0,1,0,0,1,0,0,1,0,0,6,0,1,1,0,0,0,0,0,5,2,0,0,0,0,1,0,2,0,0,0,14,6,0,0,0,1,0,0,5,0,0,4,2,1,4,0,3,0,1,0,0,3,5,2,3,15,4,1,3,0,1,3,15,2,1,1,0,3,16,13,9,14,22,21,53,5,9,29,19,14,53,8,26,17,20,43,66,27,8,22,1,2,3,7,7,11,15,23,27,56,32,24,28,37,138,63,115,26,39,59,105,81,81,64,34,111,63,56,76,82,44,67,149,77,102,73,90,68,78,86,126,125,149,136,193,152,223,188,266,243,248,247,236,216,276,406,329,391,539,573,571,510,510,413,557,576,514,315
méga_NOUN _VERB_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,1,0,2,0,1,3,1,0,0,2,0,8,1,2,2,1,3,5,9,3,2,7,10,6,5
méga_NOUN et,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,1,1,3,0,0,5,1,0,7,0,0,0,1,0,0,1,1,0,1,0,0,2,0,0,1,0,2,2,3,0,0,0,1,0,1,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,2,0,0,1,1,2,1,1,0,1,1,0,2,3,3,0,4,1,1,0
méga_NOUN et_CONJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,1,1,3,0,0,5,1,0,7,0,0,0,1,0,0,1,1,0,1,0,0,2,0,0,1,0,2,2,3,0,0,0,1,0,1,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,2,0,0,1,1,2,1,1,0,1,1,0,2,3,3,0,4,1,1,0
méga_NOUN ou,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,5,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,2,0,2,3,1,2,1,0,0,3,4,0,4,1
méga_NOUN ou_CONJ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,5,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,2,0,2,3,1,2,1,0,0,3,4,0,4,1
méga_NOUN projet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,1,0,1,2,2,2,3,2,1,7,7,14,9,6
méga_NOUN projet_NOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,1,0,1,2,2,2,3,2,1,7,7,14,9,6
méga_PRT _PRT_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,2,2,0,1,3,6,5,7,5,0,1,0,0,0,1,1,3,1,10,4,9,12,1,7,5,5,22,2,2,2,5,12,6,4,4,10,4,3,10,9,7,13,8,5,8,2,14,25,5,6,14,14,14,16,12,36,32,35,39,27,34,29,32,51,31,43,60,46,49,64,85,74,47,55,44,71,66,69,47
méga_X _X_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,2,2,1,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,3,2,1,2,0,8,4,0,0,0,0,0,2,0,2,0,6,1,3,1,3,0,2,0,0,1,1,5,0,1,7,3,1,10,3,7,5,3,11,5,2,1,8,4,1,9,16,4,15,9,11,22,15,22,13,23,50,17
